Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,203,2021-01-20,13974328,
US,111,2020-10-20,3200000,
Brazil,373,2021-07-09,4625845,
Russia,358,2021-06-24,942163,
Spain,101,2020-10-10,300238,
United Kingdom,227,2021-02-13,341836,
Italy,99,2020-10-08,241256,
India,382,2021-07-18,4483026,
France,72,2020-09-11,207336,
Germany,74,2020-09-13,198108,
Peru,161,2020-12-09,390878,
Turkey,86,2020-09-25,211961,
Iran,376,2021-07-12,551830,
Chile,47,2020-08-17,291425,
Mexico,208,2021-01-25,394915,
Canada,168,2020-12-16,111674,
Saudi Arabia,197,2021-01-14,303764,
Pakistan,96,2020-10-05,246160,
Qatar,139,2020-11-17,111808,
Belgium,80,2020-09-19,61952,
Bangladesh,237,2021-02-23,310932,
