Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,138,2020-11-16,578016,22.17
US,104,2020-10-13,137378,8.36
Brazil,276,2021-04-03,112869,2.63
Russia,161,2020-12-09,14434,12.12
Spain,20,2020-07-21,28366,68.42
United Kingdom,123,2020-11-01,46114,1.8
Italy,85,2020-09-24,34798,85.14
India,125,2020-11-03,38956,42.99
France,61,2020-08-31,29926,34.07
Germany,63,2020-09-02,9052,23.08
Peru,123,2020-11-01,14565,15.05
Turkey,53,2020-08-23,5361,36.84
Iran,46,2020-08-16,12143,31.68
Chile,45,2020-08-15,7680,74.7
Mexico,114,2020-10-23,42456,0.21
Canada,61,2020-08-31,8961,12.07
Saudi Arabia,123,2020-11-01,3376,8.56
Pakistan,72,2020-09-11,5720,0.38
Qatar,14,2020-07-15,124,58.33
Belgium,54,2020-08-24,9783,4.35
Bangladesh,112,2020-10-21,3476,9.03
