Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,138,2020-11-16,578016,
US,104,2020-10-13,137375,
Brazil,276,2021-04-03,112836,
Russia,161,2020-12-09,14434,
Spain,20,2020-07-21,28366,
United Kingdom,123,2020-11-01,46114,
Italy,85,2020-09-24,34798,
India,125,2020-11-03,38956,
France,61,2020-08-31,29926,
Germany,63,2020-09-02,9052,
Peru,123,2020-11-01,14565,
Turkey,53,2020-08-23,5361,
Iran,46,2020-08-16,12143,
Chile,45,2020-08-15,7680,
Mexico,114,2020-10-23,42456,
Canada,61,2020-08-31,8961,
Saudi Arabia,123,2020-11-01,3376,
Pakistan,71,2020-09-10,5702,
Qatar,14,2020-07-15,124,
Belgium,54,2020-08-24,9783,
Bangladesh,112,2020-10-21,3476,
