Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,179,2020-12-13,10474291,26.05
US,156,2020-11-20,2484180,46.7
Brazil,157,2020-11-21,1439637,27.77
Russia,381,2021-07-03,1048480,5.95
Spain,83,2020-09-08,294326,43.42
United Kingdom,180,2020-12-14,328899,4.36
Italy,98,2020-09-23,239874,2.02
India,202,2021-01-05,997784,7.89
France,150,2020-11-14,204558,22.96
Germany,73,2020-08-29,190678,68.72
Peru,170,2020-12-04,360668,40.74
Turkey,79,2020-09-04,193560,28.04
Iran,231,2021-02-03,273582,12.76
Chile,108,2020-10-03,336266,23.28
Mexico,376,2021-06-28,621126,6.92
Canada,171,2020-12-05,110308,3.51
Saudi Arabia,100,2020-09-25,209736,12.54
Pakistan,249,2021-02-21,684809,46.31
Qatar,145,2020-11-09,111272,9.95
Belgium,82,2020-09-07,60662,61.68
Bangladesh,321,2021-05-04,389370,10.67
