Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,179.0,2020-12-13,10474291.0,
US,156.0,2020-11-20,2484180.0,
Brazil,157.0,2020-11-21,1439637.0,
Russia,381.0,2021-07-03,1048480.0,
Spain,91.0,2020-09-16,293131.0,
United Kingdom,188.0,2020-12-22,343456.0,
Italy,98.0,2020-09-23,239874.0,
India,202.0,2021-01-05,997784.0,
France,150.0,2020-11-14,204558.0,
Germany,74.0,2020-08-30,190388.0,
Peru,178.0,2020-12-12,370762.0,
Turkey,138.0,2020-11-02,210008.0,
Iran,231.0,2021-02-03,273582.0,
Chile,,,,
Mexico,375.0,2021-06-27,600023.0,
Canada,171.0,2020-12-05,110308.0,
Saudi Arabia,101.0,2020-09-26,210193.0,
Pakistan,249.0,2021-02-21,684809.0,
Qatar,145.0,2020-11-09,111272.0,
Belgium,79.0,2020-09-04,60693.0,
Bangladesh,201.0,2021-01-04,234203.0,
