Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,115,2020-09-28,456324.0,0.75
US,165,2020-11-17,136662.0,13.08
Brazil,186,2020-12-08,94546.0,44.72
Russia,92,2020-09-05,8539.0,5.23
Spain,15,2020-06-20,27133.0,75.0
United Kingdom,79,2020-08-23,42643.0,6.13
Italy,83,2020-08-27,34148.0,45.51
India,189,2020-12-11,22867.0,9.95
France,60,2020-08-04,29492.0,3.55
Germany,63,2020-08-07,8873.0,7.14
Peru,100,2020-09-13,7857.0,4.73
Turkey,62,2020-08-06,4804.0,25.95
Iran,68,2020-08-12,8753.0,37.45
Chile,204,2020-12-26,11253.0,54.22
Mexico,51,2020-07-26,22726.0,57.27
Canada,79,2020-08-23,8587.0,12.06
Saudi Arabia,71,2020-08-15,1346.0,30.16
Pakistan,81,2020-08-25,4428.0,1.92
Qatar,15,2020-06-20,54.0,72.73
Belgium,70,2020-08-14,9784.0,24.69
Bangladesh,31,2020-07-06,1145.0,20.7
