Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,162.0,2020-11-29,11121229.0,
US,340.0,2021-05-26,3467197.0,
Brazil,232.0,2021-02-07,2369323.0,
Russia,257.0,2021-03-04,820898.0,
Spain,88.0,2020-09-16,295649.0,
United Kingdom,197.0,2021-01-03,351441.0,
Italy,98.0,2020-09-26,239923.0,
India,371.0,2021-06-26,2014767.0,
France,74.0,2020-09-02,199127.0,
Germany,68.0,2020-08-27,195582.0,
Peru,183.0,2020-12-20,372305.0,
Turkey,156.0,2020-11-23,213234.0,
Iran,137.0,2020-11-04,241967.0,
Chile,,,,
Mexico,320.0,2021-05-06,524513.0,
Canada,171.0,2020-12-08,110326.0,
Saudi Arabia,113.0,2020-10-11,234097.0,
Pakistan,103.0,2020-10-01,281901.0,
Qatar,88.0,2020-09-16,99126.0,
Belgium,120.0,2020-10-18,62401.0,
Bangladesh,241.0,2021-02-16,287704.0,
