Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,124,2020-10-22,527043,
US,100,2020-09-28,128790,
Brazil,171,2020-12-08,81913,
Russia,136,2020-11-03,13481,
Spain,50,2020-08-09,28978,
United Kingdom,84,2020-09-12,43867,
Italy,82,2020-09-10,34957,
India,331,2021-05-17,136174,
France,61,2020-08-20,29740,
Germany,63,2020-08-22,8999,
Peru,102,2020-09-30,10857,
Turkey,61,2020-08-20,5077,
Iran,59,2020-08-18,10449,
Chile,29,2020-07-19,4681,
Mexico,234,2021-02-09,64834,
Canada,99,2020-09-27,8828,
Saudi Arabia,47,2020-08-06,1966,
Pakistan,119,2020-10-17,9718,
Qatar,19,2020-07-09,112,
Belgium,72,2020-08-31,9761,
Bangladesh,109,2020-10-07,2851,
