Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,156,2020-12-09,591297.0,41.3
US,116,2020-10-30,136331.0,66.78
Brazil,162,2020-12-15,98102.0,25.28
Russia,167,2020-12-20,14023.0,18.46
Spain,31,2020-08-06,28414.0,21.05
United Kingdom,90,2020-10-04,44648.0,69.92
Italy,83,2020-09-27,35002.0,6.98
India,114,2020-10-28,37836.0,36.54
France,61,2020-09-05,29930.0,75.0
Germany,64,2020-09-08,9051.0,59.62
Peru,255,2021-03-18,21919.0,3.82
Turkey,62,2020-09-06,5376.0,42.25
Iran,50,2020-08-25,13047.0,37.71
Chile,67,2020-09-11,9944.0,173.15
Mexico,95,2020-10-09,38686.0,34.14
Canada,60,2020-09-04,8739.0,98.9
Saudi Arabia,114,2020-10-28,3876.0,42.75
Pakistan,66,2020-09-10,5717.0,19.01
Qatar,16,2020-07-22,149.0,0.0
Belgium,55,2020-08-30,9785.0,22.22
Bangladesh,117,2020-10-31,3448.0,3.04
