Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,200,2021-01-22,15350042,18.8
US,101,2020-10-15,3530163,33.51
Brazil,222,2021-02-13,2701786,4.72
Russia,366,2021-07-07,960578,10.43
Spain,110,2020-10-24,301810,54.93
United Kingdom,159,2020-12-12,298644,31.33
Italy,96,2020-10-10,244124,1.69
India,387,2021-07-28,3774970,4.11
France,75,2020-09-19,205975,70.19
Germany,335,2021-06-06,221960,35.62
Peru,208,2021-01-30,391376,16.22
Turkey,220,2021-02-11,241375,3.77
Iran,374,2021-07-15,620036,8.85
Chile,139,2020-11-22,424177,158.13
Mexico,305,2021-05-07,548261,9.21
Canada,186,2021-01-08,116836,4.58
Saudi Arabia,239,2021-03-02,354230,23.3
Pakistan,98,2020-10-12,265147,16.78
Qatar,147,2020-11-30,113355,5.64
Belgium,148,2020-12-01,65102,3.23
Bangladesh,229,2021-02-20,284803,6.53
