Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,373,2021-07-16,1022613,2.32
US,117,2020-11-02,137572,68.17
Brazil,166,2020-12-21,99021,18.27
Russia,204,2021-01-28,18446,1.09
Spain,32,2020-08-09,28414,0.0
United Kingdom,137,2020-11-22,47009,12.29
Italy,84,2020-09-30,34957,57.75
India,62,2020-09-08,25795,36.37
France,60,2020-09-06,29998,51.55
Germany,64,2020-09-10,9067,51.43
Peru,260,2021-03-25,22282,4.15
Turkey,187,2021-01-11,6339,10.14
Iran,42,2020-08-19,13380,33.76
Chile,60,2020-09-06,8622,88.52
Mexico,145,2020-11-30,51967,12.36
Canada,92,2020-10-08,8806,67.9
Saudi Arabia,128,2020-11-13,3805,31.84
Pakistan,72,2020-09-18,5926,13.76
Qatar,20,2020-07-28,157,28.57
Belgium,55,2020-09-01,9779,69.23
Bangladesh,113,2020-10-29,3586,22.99
