Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,208,2021-02-01,15986782,18.79
US,102,2020-10-18,3670392,33.33
Brazil,380,2021-07-23,6103957,27.08
Russia,169,2020-12-24,793454,23.15
Spain,94,2020-10-10,305958,39.87
United Kingdom,147,2020-12-02,297457,48.44
Italy,97,2020-10-13,243494,38.38
India,389,2021-08-01,4753490,4.19
France,73,2020-09-19,209725,34.03
Germany,74,2020-09-20,201164,29.79
Peru,275,2021-04-09,437895,12.7
Turkey,226,2021-02-19,241883,7.83
Iran,382,2021-07-25,638184,14.35
Chile,65,2020-09-11,322049,29.94
Mexico,372,2021-07-15,977982,9.56
Canada,176,2020-12-31,116832,20.42
Saudi Arabia,315,2021-05-19,414762,27.6
Pakistan,102,2020-10-18,268201,18.33
Qatar,147,2020-12-02,113268,2.8
Belgium,81,2020-09-27,62347,81.73
Bangladesh,211,2021-02-04,270186,2.24
