Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,373,2021-05-23,12874338,2.68
US,105,2020-08-28,1651665,26.33
Brazil,267,2021-02-06,1803645,4.46
Russia,123,2020-09-15,412096,9.84
Spain,85,2020-08-08,287302,23.11
United Kingdom,104,2020-08-27,269403,5.7
Italy,98,2020-08-21,230663,20.44
India,154,2020-10-16,187582,34.38
France,60,2020-07-14,183825,2.05
Germany,94,2020-08-17,181854,27.33
Peru,131,2020-09-23,178697,0.22
Turkey,82,2020-08-05,157805,15.5
Iran,117,2020-09-09,140814,31.42
Chile,61,2020-07-15,65526,39.93
Mexico,116,2020-09-08,92911,13.79
Canada,111,2020-09-03,89952,21.19
Saudi Arabia,75,2020-07-29,70903,35.26
Pakistan,92,2020-08-15,91264,38.48
Qatar,80,2020-08-03,57422,8.47
Belgium,80,2020-08-03,57360,29.01
Bangladesh,39,2020-06-23,28301,37.5
