Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,116.0,2020-09-15,388361.0,7.81
US,84.0,2020-08-14,108058.0,3.96
Brazil,140.0,2020-10-09,60638.0,18.43
Russia,60.0,2020-07-21,4863.0,25.31
Spain,62.0,2020-07-23,28416.0,138.54
United Kingdom,80.0,2020-08-10,39008.0,17.92
Italy,129.0,2020-09-28,35873.0,42.31
India,122.0,2020-09-21,8234.0,19.92
France,61.0,2020-07-22,28539.0,50.71
Germany,63.0,2020-07-24,8586.0,19.13
Peru,90.0,2020-08-20,5518.0,15.13
Turkey,63.0,2020-07-24,4434.0,52.8
Iran,66.0,2020-07-27,7869.0,16.67
Chile,28.0,2020-06-19,810.0,49.34
Mexico,54.0,2020-07-15,13421.0,32.47
Canada,84.0,2020-08-14,7319.0,28.63
Saudi Arabia,159.0,2020-10-28,1297.0,10.53
Pakistan,92.0,2020-08-22,2429.0,33.47
Qatar,,,,
Belgium,56.0,2020-07-17,9393.0,42.01
Bangladesh,40.0,2020-07-01,641.0,27.81
