Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,143,2020-10-25,8263313,15.98
US,135,2020-10-17,2157468,27.77
Brazil,69,2020-08-12,1134049,35.14
Russia,136,2020-10-18,548910,23.04
Spain,94,2020-09-06,289059,50.28
United Kingdom,169,2020-11-20,325094,3.61
Italy,101,2020-09-13,235818,43.46
India,374,2021-06-13,1440362,5.04
France,74,2020-08-17,191954,36.42
Germany,75,2020-08-18,186373,41.27
Peru,196,2020-12-17,489497,70.55
Turkey,150,2020-11-01,180046,33.23
Iran,129,2020-10-11,217416,20.23
Chile,124,2020-10-06,202083,21.16
Mexico,200,2020-12-21,231037,14.68
Canada,169,2020-11-20,109984,3.99
Saudi Arabia,112,2020-09-24,123962,48.83
Pakistan,42,2020-07-16,121594,26.43
Qatar,206,2020-12-27,146622,26.58
Belgium,79,2020-08-22,59267,67.2
Bangladesh,64,2020-08-07,94359,4.41
