Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,137,2020-10-01,5784514,25.43
US,106,2020-08-31,1698899,24.74
Brazil,74,2020-07-30,565794,7.25
Russia,121,2020-09-15,419414,12.96
Spain,52,2020-07-08,283043,29.4
United Kingdom,103,2020-08-28,278655,11.27
Italy,98,2020-08-23,231522,23.03
India,174,2020-11-07,253249,24.68
France,54,2020-07-10,182319,46.04
Germany,95,2020-08-20,182496,24.57
Peru,138,2020-10-02,192794,0.98
Turkey,83,2020-08-08,160623,9.7
Iran,117,2020-09-11,143914,34.78
Chile,53,2020-07-09,69557,41.48
Mexico,212,2020-12-15,190391,6.25
Canada,128,2020-09-22,98003,15.86
Saudi Arabia,80,2020-08-05,88710,7.2
Pakistan,46,2020-07-02,65880,10.97
Qatar,122,2020-09-16,64500,12.19
Belgium,80,2020-08-05,57506,26.7
Bangladesh,53,2020-07-09,33721,36.22
