Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,127,2020-10-26,529637,
US,101,2020-09-30,129017,
Brazil,180,2020-12-18,89508,
Russia,143,2020-11-11,13621,
Spain,31,2020-07-22,30132,
United Kingdom,85,2020-09-14,43818,
Italy,81,2020-09-10,35036,
India,317,2021-05-04,124224,
France,61,2020-08-21,29725,
Germany,63,2020-08-23,8986,
Peru,97,2020-09-26,11437,
Turkey,60,2020-08-20,5115,
Iran,54,2020-08-14,10626,
Chile,47,2020-08-07,5797,
Mexico,96,2020-09-25,38770,
Canada,94,2020-09-23,9338,
Saudi Arabia,51,2020-08-11,2056,
Pakistan,63,2020-08-23,6268,
Qatar,21,2020-07-12,117,
Belgium,55,2020-08-15,9721,
Bangladesh,113,2020-10-12,2934,
