Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,119.0,2020-09-20,391061.0,17.07
US,87.0,2020-08-19,109150.0,14.17
Brazil,53.0,2020-07-16,38454.0,33.1
Russia,61.0,2020-07-24,5325.0,20.9
Spain,50.0,2020-07-13,30207.0,170.17
United Kingdom,81.0,2020-08-13,38986.0,28.87
Italy,79.0,2020-08-11,33789.0,0.66
India,129.0,2020-09-30,9772.0,20.29
France,62.0,2020-07-25,28552.0,64.79
Germany,65.0,2020-07-28,8444.0,59.3
Peru,64.0,2020-07-27,4778.0,40.74
Turkey,50.0,2020-07-13,4607.0,35.82
Iran,69.0,2020-08-01,7915.0,28.87
Chile,33.0,2020-06-26,999.0,38.77
Mexico,63.0,2020-07-26,14278.0,23.49
Canada,83.0,2020-08-15,7545.0,24.06
Saudi Arabia,67.0,2020-07-30,718.0,19.3
Pakistan,92.0,2020-08-24,2371.0,7.98
Qatar,,,,
Belgium,47.0,2020-07-10,9504.0,31.91
Bangladesh,34.0,2020-06-27,771.0,2.92
