Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,150,2020-11-27,560702.0,
US,104,2020-10-12,136605.0,
Brazil,280,2021-04-06,113466.0,
Russia,167,2020-12-14,13055.0,
Spain,14,2020-07-14,28348.0,
United Kingdom,89,2020-09-27,44070.0,
Italy,84,2020-09-22,34848.0,
India,128,2020-11-05,39495.0,
France,62,2020-08-31,29820.0,
Germany,63,2020-09-01,9056.0,
Peru,121,2020-10-29,14256.0,
Turkey,62,2020-08-31,5246.0,
Iran,46,2020-08-15,11985.0,
Chile,41,2020-08-10,7341.0,
Mexico,174,2020-12-21,57455.0,
Canada,91,2020-09-29,8724.0,
Saudi Arabia,115,2020-10-23,3108.0,
Pakistan,71,2020-09-09,5702.0,
Qatar,15,2020-07-15,117.0,
Belgium,64,2020-09-02,9747.0,
Bangladesh,116,2020-10-24,3431.0,
