Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,202,2021-01-18,13665068,22.94
US,110,2020-10-18,3140693,35.28
Brazil,372,2021-07-07,4628448,17.12
Russia,358,2021-06-23,943354,4.66
Spain,88,2020-09-26,298858,41.35
United Kingdom,74,2020-09-12,289649,19.89
Italy,97,2020-10-05,242165,31.5
India,381,2021-07-16,4203865,1.99
France,75,2020-09-13,202898,78.02
Germany,75,2020-09-13,197210,61.52
Peru,166,2020-12-13,400141,38.36
Turkey,372,2021-07-07,356563,16.09
Iran,148,2020-11-25,269789,17.57
Chile,42,2020-08-11,285390,66.59
Mexico,212,2021-01-28,398599,17.14
Canada,167,2020-12-14,111670,9.82
Saudi Arabia,197,2021-01-13,304719,2.83
Pakistan,95,2020-10-03,244218,31.11
Qatar,137,2020-11-14,111251,2.49
Belgium,80,2020-09-18,61921,53.48
Bangladesh,240,2021-02-25,309676,15.87
