Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,202,2021-01-18,13665068,
US,101,2020-10-09,3146461,
Brazil,372,2021-07-07,4625213,
Russia,358,2021-06-23,943354,
Spain,88,2020-09-26,298858,
United Kingdom,225,2021-02-10,341483,
Italy,97,2020-10-05,242165,
India,381,2021-07-16,4203865,
France,75,2020-09-13,202898,
Germany,75,2020-09-13,197210,
Peru,166,2020-12-13,400141,
Turkey,372,2021-07-07,356563,
Iran,148,2020-11-25,269789,
Chile,42,2020-08-11,285390,
Mexico,212,2021-01-28,398599,
Canada,167,2020-12-14,111670,
Saudi Arabia,197,2021-01-13,304719,
Pakistan,95,2020-10-03,244218,
Qatar,137,2020-11-14,111251,
Belgium,80,2020-09-18,61921,
Bangladesh,240,2021-02-25,309676,
