Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,179,2020-12-18,11614150,
US,117,2020-10-17,2734248,
Brazil,207,2021-01-15,2510884,
Russia,382,2021-07-09,987468,
Spain,89,2020-09-19,296945,
United Kingdom,198,2021-01-06,338753,
Italy,100,2020-09-30,239497,
India,373,2021-06-30,2572089,
France,73,2020-09-03,200852,
Germany,72,2020-09-02,194769,
Peru,191,2020-12-30,361715,
Turkey,153,2020-11-22,212865,
Iran,143,2020-11-12,246269,
Chile,50,2020-08-11,358955,
Mexico,380,2021-07-07,595245,
Canada,173,2020-12-12,111176,
Saudi Arabia,163,2020-12-02,241355,
Pakistan,98,2020-09-28,284388,
Qatar,94,2020-09-24,100431,
Belgium,82,2020-09-12,60754,
Bangladesh,327,2021-05-15,404053,
