Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,174,2020-12-25,14677569,14.89
US,84,2020-09-26,3395966,25.78
Brazil,240,2021-03-01,3135368,26.52
Russia,364,2021-07-03,955142,8.35
Spain,96,2020-10-08,302828,38.29
United Kingdom,102,2020-10-14,292310,45.08
Italy,170,2020-12-21,248884,33.25
India,385,2021-07-24,3882268,1.11
France,73,2020-09-15,208355,29.47
Germany,306,2021-05-06,219358,15.57
Peru,151,2020-12-02,352323,27.73
Turkey,217,2021-02-06,239221,5.17
Iran,142,2020-11-23,279358,11.82
Chile,58,2020-08-31,304245,48.81
Mexico,353,2021-06-22,753442,15.45
Canada,118,2020-10-30,115442,81.64
Saudi Arabia,219,2021-02-08,327384,6.76
Pakistan,96,2020-10-08,268317,0.91
Qatar,153,2020-12-04,113205,12.01
Belgium,79,2020-09-21,62619,27.53
Bangladesh,253,2021-03-14,311937,15.44
