Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,179,2020-12-25,13333314,
US,96,2020-10-03,3091648,
Brazil,363,2021-06-27,4210111,
Russia,288,2021-04-13,866777,
Spain,87,2020-09-24,298942,
United Kingdom,223,2021-02-07,341234,
Italy,97,2020-10-04,242344,
India,240,2021-02-24,1476077,
France,73,2020-09-10,203619,
Germany,74,2020-09-11,197032,
Peru,180,2020-12-26,402110,
Turkey,371,2021-07-05,339624,
Iran,374,2021-07-08,526626,
Chile,113,2020-10-20,398300,
Mexico,364,2021-06-28,645475,
Canada,171,2020-12-17,110842,
Saudi Arabia,160,2020-12-06,267158,
Pakistan,83,2020-09-20,235732,
Qatar,135,2020-11-11,110628,
Belgium,80,2020-09-17,61973,
Bangladesh,238,2021-02-22,303391,
