Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,149,2020-11-25,554690.0,38.96
US,104,2020-10-11,135666.0,14.74
Brazil,249,2021-03-05,110110.0,3.38
Russia,134,2020-11-10,12840.0,24.62
Spain,12,2020-07-11,28344.0,95.35
United Kingdom,88,2020-09-25,44168.0,58.07
Italy,83,2020-09-20,34935.0,12.7
India,36,2020-08-04,18509.0,62.08
France,61,2020-08-29,29830.0,67.24
Germany,63,2020-08-31,9051.0,6.25
Peru,118,2020-10-25,13996.0,14.53
Turkey,62,2020-08-30,5230.0,43.31
Iran,54,2020-08-22,11854.0,34.46
Chile,36,2020-08-04,7014.0,29.45
Mexico,164,2020-12-10,54492.0,32.66
Canada,92,2020-09-29,8673.0,68.35
Saudi Arabia,118,2020-10-25,2999.0,21.62
Pakistan,46,2020-08-14,4760.0,42.45
Qatar,15,2020-07-14,118.0,71.43
Belgium,58,2020-08-26,9732.0,97.67
Bangladesh,111,2020-10-18,2931.0,17.83
