Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,149,2020-11-25,554690.0,
US,104,2020-10-11,135661.0,
Brazil,249,2021-03-05,110083.0,
Russia,134,2020-11-10,12840.0,
Spain,12,2020-07-11,28344.0,
United Kingdom,88,2020-09-25,44168.0,
Italy,83,2020-09-20,34935.0,
India,36,2020-08-04,18509.0,
France,61,2020-08-29,29830.0,
Germany,63,2020-08-31,9051.0,
Peru,118,2020-10-25,13996.0,
Turkey,62,2020-08-30,5230.0,
Iran,54,2020-08-22,11854.0,
Chile,36,2020-08-04,7014.0,
Mexico,164,2020-12-10,54492.0,
Canada,92,2020-09-29,8673.0,
Saudi Arabia,118,2020-10-25,2999.0,
Pakistan,48,2020-08-16,4834.0,
Qatar,15,2020-07-14,118.0,
Belgium,58,2020-08-26,9732.0,
Bangladesh,111,2020-10-18,2931.0,
