Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,179,2020-12-25,13333314,17.25
US,96,2020-10-03,3092014,27.6
Brazil,364,2021-06-28,4215187,13.92
Russia,288,2021-04-13,866777,11.66
Spain,87,2020-09-24,298942,2.76
United Kingdom,156,2020-12-02,298753,49.94
Italy,97,2020-10-04,242344,24.42
India,240,2021-02-24,1476077,1.5
France,73,2020-09-10,203619,43.27
Germany,74,2020-09-11,197032,58.55
Peru,180,2020-12-26,402110,37.09
Turkey,371,2021-07-05,339624,12.15
Iran,374,2021-07-08,526626,0.15
Chile,113,2020-10-20,398300,82.56
Mexico,364,2021-06-28,645475,4.21
Canada,171,2020-12-17,110842,20.42
Saudi Arabia,160,2020-12-06,267158,17.06
Pakistan,83,2020-09-20,235732,37.12
Qatar,135,2020-11-11,110628,6.6
Belgium,80,2020-09-17,61973,48.42
Bangladesh,238,2021-02-22,303391,11.1
