Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,140,2020-10-18,7667629,17.46
US,125,2020-10-03,2079893,25.11
Brazil,277,2021-03-04,4125580,37.99
Russia,166,2020-11-13,555586,18.75
Spain,92,2020-08-31,289873,9.72
United Kingdom,159,2020-11-06,337228,60.13
Italy,99,2020-09-07,236730,4.77
India,372,2021-06-07,1383845,3.74
France,71,2020-08-10,199774,260.11
Germany,73,2020-08-12,186413,16.71
Peru,122,2020-09-30,345372,73.74
Turkey,141,2020-10-19,182142,3.16
Iran,127,2020-10-05,191453,25.83
Chile,105,2020-09-13,165287,26.56
Mexico,285,2021-03-12,334411,2.85
Canada,164,2020-11-11,112333,17.33
Saudi Arabia,91,2020-08-30,111958,29.49
Pakistan,152,2020-10-30,154864,36.61
Qatar,178,2020-11-25,122334,21.81
Belgium,117,2020-09-25,61497,15.6
Bangladesh,368,2021-06-03,463935,3.87
