Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,118.0,2020-10-14,521634.0,10.87
US,200.0,2021-01-04,139953.0,2.76
Brazil,203.0,2021-01-07,91034.0,4.86
Russia,125.0,2020-10-21,12132.0,36.72
Spain,15.0,2020-07-03,27136.0,99.92
United Kingdom,82.0,2020-09-08,43997.0,5.2
Italy,84.0,2020-09-10,34665.0,45.18
India,,,,
France,59.0,2020-08-16,29881.0,33.76
Germany,74.0,2020-08-31,9251.0,100.0
Peru,95.0,2020-09-21,10523.0,6.09
Turkey,62.0,2020-08-19,4998.0,55.76
Iran,53.0,2020-08-10,10222.0,32.71
Chile,62.0,2020-08-19,9361.0,38.76
Mexico,73.0,2020-08-30,30555.0,4.01
Canada,90.0,2020-09-16,8562.0,44.98
Saudi Arabia,115.0,2020-10-11,2942.0,6.21
Pakistan,128.0,2020-10-24,8882.0,14.55
Qatar,18.0,2020-07-06,102.0,28.57
Belgium,56.0,2020-08-13,9714.0,43.18
Bangladesh,30.0,2020-07-18,1691.0,6.81
