Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,151.0,2020-11-16,10723102.0,16.33
US,149.0,2020-11-14,2534665.0,43.74
Brazil,162.0,2020-11-27,1475261.0,31.48
Russia,382.0,2021-07-05,1023811.0,5.01
Spain,84.0,2020-09-10,294689.0,43.3
United Kingdom,211.0,2021-01-15,335745.0,1.86
Italy,139.0,2020-11-04,243731.0,0.38
India,198.0,2021-01-02,1005107.0,6.3
France,158.0,2020-11-23,205359.0,14.67
Germany,71.0,2020-08-28,193193.0,38.79
Peru,135.0,2020-10-31,310738.0,3.37
Turkey,81.0,2020-09-07,194211.0,34.12
Iran,135.0,2020-10-31,237003.0,15.26
Chile,,,,
Mexico,378.0,2021-07-01,583059.0,2.23
Canada,175.0,2020-12-10,110916.0,6.2
Saudi Arabia,101.0,2020-09-27,217786.0,23.49
Pakistan,292.0,2021-04-06,857037.0,56.06
Qatar,93.0,2020-09-19,98687.0,19.51
Belgium,81.0,2020-09-07,60806.0,58.33
Bangladesh,283.0,2021-03-28,401600.0,23.41
