Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,151.0,2020-11-16,10723102.0,
US,149.0,2020-11-14,2534665.0,
Brazil,162.0,2020-11-27,1475261.0,
Russia,382.0,2021-07-05,1023811.0,
Spain,92.0,2020-09-18,293050.0,
United Kingdom,191.0,2020-12-26,347564.0,
Italy,139.0,2020-11-04,243731.0,
India,198.0,2021-01-02,1005107.0,
France,158.0,2020-11-23,205359.0,
Germany,72.0,2020-08-29,192376.0,
Peru,189.0,2020-12-24,385392.0,
Turkey,142.0,2020-11-07,211650.0,
Iran,135.0,2020-10-31,237003.0,
Chile,,,,
Mexico,376.0,2021-06-29,584323.0,
Canada,175.0,2020-12-10,110916.0,
Saudi Arabia,371.0,2021-06-24,819693.0,
Pakistan,292.0,2021-04-06,857037.0,
Qatar,93.0,2020-09-19,98687.0,
Belgium,79.0,2020-09-05,60794.0,
Bangladesh,221.0,2021-01-25,318445.0,
