Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,159,2020-11-19,9711963,20.9
US,371,2021-06-19,3188534,16.66
Brazil,183,2020-12-13,1937139,17.14
Russia,377,2021-06-25,1089053,5.24
Spain,90,2020-09-11,293166,28.26
United Kingdom,194,2020-12-24,342065,11.83
Italy,99,2020-09-20,238234,42.75
India,198,2020-12-28,951768,21.34
France,74,2020-08-26,196402,27.06
Germany,76,2020-08-28,188386,78.85
Peru,103,2020-09-24,272203,26.26
Turkey,156,2020-11-16,193823,44.36
Iran,135,2020-10-26,220333,24.23
Chile,81,2020-09-02,239903,46.52
Mexico,330,2021-05-09,627020,24.95
Canada,170,2020-11-30,109952,0.58
Saudi Arabia,53,2020-08-05,183751,20.41
Pakistan,313,2021-04-22,1043491,21.67
Qatar,140,2020-10-31,110391,17.76
Belgium,78,2020-08-30,60707,24.64
Bangladesh,195,2020-12-25,250528,15.12
