Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,128.0,2020-10-19,481021.0,33.06
US,96.0,2020-09-17,125419.0,2.42
Brazil,170.0,2020-11-30,79185.0,20.71
Russia,119.0,2020-10-10,11488.0,3.49
Spain,10.0,2020-06-23,27136.0,99.92
United Kingdom,83.0,2020-09-04,43168.0,15.3
Italy,82.0,2020-09-03,34691.0,22.12
India,54.0,2020-08-06,15957.0,23.67
France,62.0,2020-08-14,29497.0,64.34
Germany,55.0,2020-08-07,9022.0,8.74
Peru,66.0,2020-08-18,9653.0,31.44
Turkey,63.0,2020-08-15,4894.0,52.21
Iran,68.0,2020-08-20,9459.0,50.64
Chile,,,,
Mexico,253.0,2021-02-21,66143.0,19.28
Canada,96.0,2020-09-17,8755.0,5.28
Saudi Arabia,158.0,2020-11-18,3477.0,5.69
Pakistan,129.0,2020-10-20,8830.0,3.49
Qatar,22.0,2020-07-05,91.0,32.0
Belgium,56.0,2020-08-08,9680.0,46.81
Bangladesh,33.0,2020-07-16,1469.0,19.86
