Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,155,2020-12-05,14306936,10.52
US,95,2020-10-06,3339714,27.92
Brazil,375,2021-07-13,4845467,19.3
Russia,362,2021-06-30,953287,7.03
Spain,99,2020-10-10,301840,38.39
United Kingdom,130,2020-11-10,286069,96.3
Italy,98,2020-10-09,242238,58.19
India,384,2021-07-22,5062921,3.3
France,73,2020-09-14,207779,27.87
Germany,240,2021-02-28,214717,15.82
Peru,208,2021-01-27,435473,35.35
Turkey,89,2020-09-30,213304,27.95
Iran,383,2021-07-21,452091,5.24
Chile,56,2020-08-28,299933,51.4
Mexico,377,2021-07-15,720821,4.36
Canada,168,2020-12-18,111706,23.25
Saudi Arabia,203,2021-01-22,310063,1.87
Pakistan,94,2020-10-05,266733,1.0
Qatar,155,2020-12-05,114682,24.71
Belgium,252,2021-03-12,66736,0.32
Bangladesh,258,2021-03-18,318481,14.7
