Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,251,2021-03-28,20560301,
US,96,2020-10-24,4651545,
Brazil,285,2021-05-01,3287379,
Russia,176,2021-01-12,870689,
Spain,82,2020-10-10,312141,
United Kingdom,373,2021-07-28,340988,
Italy,97,2020-10-25,245668,
India,193,2021-01-29,2738061,
France,76,2020-10-04,214235,
Germany,74,2020-10-02,205740,
Peru,371,2021-07-26,744937,
Turkey,285,2021-05-01,257448,
Iran,395,2021-08-19,522789,
Chile,116,2020-11-13,356491,
Mexico,380,2021-08-04,1294909,
Canada,118,2020-11-15,119837,
Saudi Arabia,200,2021-02-05,316888,
Pakistan,122,2020-11-19,285103,
Qatar,168,2021-01-04,113709,
Belgium,75,2020-10-03,65500,
Bangladesh,220,2021-02-25,286360,
