Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,146.0,2020-12-13,684658.0,
US,102.0,2020-10-30,152346.0,
Brazil,379.0,2021-08-03,167856.0,
Russia,173.0,2021-01-09,15579.0,
Spain,24.0,2020-08-13,28434.0,
United Kingdom,91.0,2020-10-19,45643.0,
Italy,83.0,2020-10-11,35081.0,
India,88.0,2020-10-16,37971.0,
France,60.0,2020-09-18,30175.0,
Germany,13.0,2020-08-02,9098.0,
Peru,281.0,2021-04-27,26096.0,
Turkey,64.0,2020-09-22,5641.0,
Iran,48.0,2020-09-06,16072.0,
Chile,,,,
Mexico,201.0,2021-02-06,59027.0,
Canada,76.0,2020-10-04,9118.0,
Saudi Arabia,79.0,2020-10-07,3188.0,
Pakistan,49.0,2020-09-07,6008.0,
Qatar,17.0,2020-08-06,164.0,
Belgium,62.0,2020-09-20,9805.0,
Bangladesh,121.0,2020-11-18,3743.0,
