Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,162.0,2020-11-29,11121229.0,21.79
US,340.0,2021-05-26,3467197.0,23.63
Brazil,232.0,2021-02-07,2369323.0,4.82
Russia,257.0,2021-03-04,820898.0,5.48
Spain,83.0,2020-09-11,296926.0,16.34
United Kingdom,189.0,2020-12-26,335866.0,6.98
Italy,98.0,2020-09-26,239923.0,46.15
India,371.0,2021-06-26,2014767.0,5.07
France,74.0,2020-09-02,199127.0,41.32
Germany,68.0,2020-08-27,195584.0,15.33
Peru,141.0,2020-11-08,311862.0,17.76
Turkey,82.0,2020-09-10,196163.0,40.19
Iran,137.0,2020-11-04,241967.0,16.95
Chile,,,,
Mexico,174.0,2020-12-11,318579.0,0.6
Canada,171.0,2020-12-08,110326.0,1.87
Saudi Arabia,118.0,2020-10-16,234865.0,24.58
Pakistan,103.0,2020-10-01,281901.0,51.14
Qatar,88.0,2020-09-16,99126.0,22.91
Belgium,80.0,2020-09-08,61284.0,34.09
Bangladesh,355.0,2021-06-10,455331.0,10.99
