Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,143,2020-10-12,6435673,20.84
US,253,2021-01-30,2240495,1.81
Brazil,258,2021-02-04,1998481,14.06
Russia,130,2020-09-29,450218,20.27
Spain,92,2020-08-22,286377,36.28
United Kingdom,129,2020-09-28,303086,1.46
Italy,121,2020-09-20,239346,2.15
India,376,2021-06-02,1007949,1.52
France,76,2020-08-06,186215,36.61
Germany,72,2020-08-02,182787,29.77
Peru,167,2020-11-05,230287,20.96
Turkey,130,2020-09-29,168426,26.51
Iran,121,2020-09-20,165517,10.45
Chile,76,2020-08-06,127757,13.87
Mexico,195,2020-12-03,185490,10.03
Canada,141,2020-10-10,102886,13.46
Saudi Arabia,107,2020-09-06,108784,0.29
Pakistan,53,2020-07-14,84058,42.38
Qatar,142,2020-10-11,81680,6.32
Belgium,87,2020-08-17,59606,20.57
Bangladesh,50,2020-07-11,46662,15.85
