Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,143,2020-10-08,5826418,30.08
US,111,2020-09-06,1707432,30.0
Brazil,86,2020-08-12,501811,9.93
Russia,121,2020-09-16,418804,17.63
Spain,89,2020-08-15,284725,15.93
United Kingdom,105,2020-08-31,280076,13.69
Italy,98,2020-08-24,231427,27.59
India,86,2020-08-12,179313,20.9
France,54,2020-07-11,182303,49.84
Germany,97,2020-08-23,180816,48.3
Peru,148,2020-10-13,203435,2.6
Turkey,83,2020-08-09,160817,15.79
Iran,118,2020-09-13,145188,36.49
Chile,68,2020-07-25,79198,43.69
Mexico,132,2020-09-27,106516,19.52
Canada,110,2020-09-05,92909,20.11
Saudi Arabia,84,2020-08-10,95577,1.26
Pakistan,92,2020-08-18,86667,9.48
Qatar,134,2020-09-29,74386,5.03
Belgium,79,2020-08-05,57704,27.86
Bangladesh,63,2020-07-20,37124,35.75
