Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,139,2020-09-28,5117052,34.3
US,110,2020-08-30,1545399,39.39
Brazil,49,2020-06-30,274509,26.51
Russia,130,2020-09-19,452079,7.27
Spain,80,2020-07-31,285542,18.71
United Kingdom,98,2020-08-18,262788,13.06
Italy,106,2020-08-26,234043,7.64
India,101,2020-08-21,154968,9.16
France,89,2020-08-09,189024,139.85
Germany,94,2020-08-14,179030,36.41
Peru,104,2020-08-24,131693,12.48
Turkey,86,2020-08-06,151196,43.28
Iran,116,2020-09-05,128336,43.82
Chile,212,2020-12-10,112323,37.77
Mexico,215,2020-12-13,159243,7.19
Canada,93,2020-08-13,86047,27.38
Saudi Arabia,66,2020-07-17,61593,33.93
Pakistan,73,2020-07-24,79826,76.24
Qatar,99,2020-08-19,49942,18.68
Belgium,79,2020-07-30,56679,13.91
Bangladesh,37,2020-06-18,22871,41.28
