Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,113.0,2020-09-02,336079.0,27.69
US,87.0,2020-08-07,89814.0,55.1
Brazil,67.0,2020-07-18,25477.0,5.36
Russia,66.0,2020-07-17,3231.0,22.71
Spain,58.0,2020-07-09,27707.0,36.79
United Kingdom,70.0,2020-07-21,35558.0,42.05
Italy,80.0,2020-07-31,32200.0,41.86
India,36.0,2020-06-17,3320.0,26.13
France,60.0,2020-07-11,27780.0,51.84
Germany,67.0,2020-07-18,8113.0,33.14
Peru,64.0,2020-07-15,3335.0,37.88
Turkey,60.0,2020-07-11,4267.0,25.16
Iran,70.0,2020-07-21,7147.0,41.09
Chile,55.0,2020-07-06,512.0,64.57
Mexico,67.0,2020-07-18,8042.0,2.81
Canada,76.0,2020-07-27,7010.0,16.05
Saudi Arabia,75.0,2020-07-26,498.0,9.09
Pakistan,64.0,2020-07-15,1650.0,43.84
Qatar,,,,
Belgium,57.0,2020-07-08,9063.0,39.66
Bangladesh,21.0,2020-06-02,313.0,53.72
