Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,144,2020-10-15,6688337,22.36
US,116,2020-09-17,1926203,10.5
Brazil,284,2021-03-04,2532230,7.56
Russia,143,2020-10-14,467108,18.76
Spain,89,2020-08-21,290353,56.62
United Kingdom,142,2020-10-13,314332,6.48
Italy,123,2020-09-24,239706,3.18
India,330,2021-04-19,959331,5.7
France,77,2020-08-09,183438,86.01
Germany,103,2020-09-04,184762,34.53
Peru,172,2020-11-12,272476,24.52
Turkey,134,2020-10-05,170514,28.5
Iran,124,2020-09-25,164760,26.1
Chile,65,2020-07-28,131889,10.84
Mexico,178,2020-11-18,195607,9.63
Canada,160,2020-10-31,109429,6.72
Saudi Arabia,99,2020-08-31,119987,55.75
Pakistan,42,2020-07-05,81821,25.38
Qatar,147,2020-10-18,91214,3.69
Belgium,76,2020-08-08,58973,10.47
Bangladesh,62,2020-07-25,54639,14.14
