Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,174,2020-12-07,10249945,26.7
US,147,2020-11-10,2472617,39.01
Brazil,156,2020-11-19,1416144,25.24
Russia,142,2020-11-05,654355,14.59
Spain,82,2020-09-06,294454,35.31
United Kingdom,201,2021-01-03,333265,5.02
Italy,97,2020-09-21,239903,0.56
India,198,2020-12-31,973541,10.48
France,142,2020-11-05,204151,12.12
Germany,152,2020-11-15,195840,55.95
Peru,125,2020-10-19,300730,3.43
Turkey,82,2020-09-06,193595,20.21
Iran,212,2021-01-14,261827,15.87
Chile,105,2020-09-29,342361,15.3
Mexico,375,2021-06-26,639366,6.2
Canada,62,2020-08-17,102868,56.59
Saudi Arabia,95,2020-09-19,198486,1.48
Pakistan,230,2021-02-01,613364,34.39
Qatar,146,2020-11-09,111783,16.38
Belgium,81,2020-09-05,60729,48.02
Bangladesh,305,2021-04-17,359502,5.07
