Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,137.0,2020-10-31,485819.0,45.95
US,107.0,2020-10-01,122677.0,49.68
Brazil,198.0,2020-12-31,88540.0,5.29
Russia,121.0,2020-10-15,11669.0,0.84
Spain,13.0,2020-06-29,27136.0,99.92
United Kingdom,86.0,2020-09-10,42372.0,80.69
Italy,82.0,2020-09-06,34786.0,18.47
India,,,,
France,62.0,2020-08-17,29537.0,68.86
Germany,38.0,2020-07-24,8934.0,36.84
Peru,95.0,2020-09-19,10359.0,4.25
Turkey,90.0,2020-09-14,5204.0,39.38
Iran,52.0,2020-08-07,9980.0,29.66
Chile,,,,
Mexico,220.0,2021-01-22,60115.0,2.84
Canada,97.0,2020-09-21,8761.0,14.98
Saudi Arabia,117.0,2020-10-11,2794.0,2.37
Pakistan,82.0,2020-09-06,5497.0,3.5
Qatar,18.0,2020-07-04,95.0,30.0
Belgium,57.0,2020-08-12,9680.0,70.59
Bangladesh,92.0,2020-09-16,2357.0,6.34
