Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,220,2021-02-12,15766244,21.33
US,117,2020-11-01,3613192,38.01
Brazil,227,2021-02-19,2713849,6.58
Russia,167,2020-12-21,789079,21.05
Spain,107,2020-10-22,303504,58.99
United Kingdom,147,2020-12-01,296980,48.54
Italy,97,2020-10-12,243171,51.38
India,373,2021-07-15,15485362,2.4
France,75,2020-09-20,207151,75.17
Germany,74,2020-09-19,200808,27.15
Peru,243,2021-03-07,414580,15.25
Turkey,223,2021-02-15,241921,5.28
Iran,382,2021-07-24,600385,10.12
Chile,140,2020-11-24,416565,111.12
Mexico,388,2021-07-30,744140,7.31
Canada,167,2020-12-21,116352,16.27
Saudi Arabia,318,2021-05-21,419438,27.32
Pakistan,100,2020-10-15,266441,17.98
Qatar,147,2020-12-01,113326,3.2
Belgium,79,2020-09-24,62752,43.78
Bangladesh,160,2020-12-14,235874,12.45
