Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,149.0,2020-11-03,8736993.0,15.61
US,112.0,2020-09-27,2296695.0,4.03
Brazil,213.0,2021-01-06,2474344.0,44.62
Russia,371.0,2021-06-13,1021916.0,1.17
Spain,93.0,2020-09-08,290667.0,41.94
United Kingdom,151.0,2020-11-05,324953.0,25.48
Italy,132.0,2020-10-17,240246.0,6.54
India,258.0,2021-02-20,858801.0,9.23
France,74.0,2020-08-20,192719.0,56.49
Germany,73.0,2020-08-19,188314.0,6.37
Peru,230.0,2021-01-23,488817.0,41.63
Turkey,151.0,2020-11-05,186581.0,27.13
Iran,135.0,2020-10-20,212631.0,4.49
Chile,111.0,2020-09-26,226004.0,17.81
Mexico,249.0,2021-02-11,421110.0,20.03
Canada,128.0,2020-10-13,106984.0,8.08
Saudi Arabia,176.0,2020-11-30,192586.0,21.96
Pakistan,,,,
Qatar,114.0,2020-09-29,97477.0,8.52
Belgium,116.0,2020-10-01,61893.0,2.74
Bangladesh,147.0,2020-11-01,161494.0,3.48
