Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,131.0,2020-10-23,480509.0,
US,98.0,2020-09-20,125327.0,
Brazil,181.0,2020-12-12,83989.0,
Russia,119.0,2020-10-11,10885.0,
Spain,11.0,2020-06-25,27136.0,
United Kingdom,83.0,2020-09-05,43204.0,
Italy,148.0,2020-11-09,36281.0,
India,62.0,2020-08-15,17493.0,
France,62.0,2020-08-15,29518.0,
Germany,57.0,2020-08-10,9030.0,
Peru,98.0,2020-09-20,9323.0,
Turkey,63.0,2020-08-16,4898.0,
Iran,69.0,2020-08-22,9557.0,
Chile,,,,
Mexico,208.0,2021-01-08,56463.0,
Canada,96.0,2020-09-18,8784.0,
Saudi Arabia,53.0,2020-08-06,1698.0,
Pakistan,73.0,2020-08-26,4857.0,
Qatar,19.0,2020-07-03,85.0,
Belgium,56.0,2020-08-09,9684.0,
Bangladesh,33.0,2020-07-17,1509.0,
