Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,164,2020-11-25,9915783,22.71
US,372,2021-06-21,4216568,6.34
Brazil,204,2021-01-04,2146336,34.61
Russia,378,2021-06-27,1111039,7.45
Spain,78,2020-08-31,294738,15.25
United Kingdom,161,2020-11-22,327877,1.54
Italy,98,2020-09-20,238916,23.2
India,203,2021-01-03,980143,18.99
France,74,2020-08-27,196922,30.11
Germany,74,2020-08-27,189222,70.79
Peru,115,2020-10-07,286382,15.42
Turkey,84,2020-09-06,188799,35.96
Iran,154,2020-11-15,232428,25.32
Chile,185,2020-12-16,406999,36.73
Mexico,373,2021-06-22,601132,0.55
Canada,170,2020-12-01,109620,10.7
Saudi Arabia,100,2020-09-22,182064,18.69
Pakistan,327,2021-05-07,1390030,38.59
Qatar,142,2020-11-03,110840,18.98
Belgium,81,2020-09-03,60747,18.58
Bangladesh,302,2021-04-12,344680,1.06
