Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,117,2020-09-29,447245.0,10.88
US,93,2020-09-05,117472.0,24.71
Brazil,193,2020-12-14,74236.0,2.4
Russia,83,2020-08-26,8285.0,1.66
Spain,14,2020-06-18,27128.0,88.89
United Kingdom,79,2020-08-22,42276.0,5.81
Italy,83,2020-08-26,34026.0,52.72
India,174,2020-11-25,19391.0,12.13
France,61,2020-08-04,29372.0,20.4
Germany,64,2020-08-07,8784.0,31.16
Peru,98,2020-09-10,7703.0,0.59
Turkey,74,2020-08-17,5036.0,6.72
Iran,68,2020-08-11,8685.0,35.99
Chile,188,2020-12-09,8485.0,55.29
Mexico,56,2020-07-30,19358.0,13.06
Canada,89,2020-09-01,8551.0,8.71
Saudi Arabia,67,2020-08-10,1229.0,34.41
Pakistan,37,2020-07-11,3047.0,18.57
Qatar,15,2020-06-19,49.0,80.0
Belgium,56,2020-07-30,9635.0,28.09
Bangladesh,32,2020-07-06,1122.0,17.1
