Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,113.0,2020-09-01,332415.0,26.19
US,81.0,2020-07-31,89305.0,46.27
Brazil,106.0,2020-08-25,29069.0,2.42
Russia,62.0,2020-07-12,3126.0,19.33
Spain,57.0,2020-07-07,27704.0,31.06
United Kingdom,69.0,2020-07-19,35094.0,40.1
Italy,79.0,2020-07-29,32137.0,37.35
India,37.0,2020-06-17,3207.0,24.91
France,63.0,2020-07-13,26997.0,82.95
Germany,66.0,2020-07-16,8071.0,26.24
Peru,62.0,2020-07-12,3229.0,35.34
Turkey,62.0,2020-07-12,4206.0,33.53
Iran,70.0,2020-07-20,7097.0,38.87
Chile,47.0,2020-06-27,485.0,58.97
Mexico,70.0,2020-07-20,7457.0,7.84
Canada,74.0,2020-07-24,6867.0,3.19
Saudi Arabia,66.0,2020-07-16,483.0,4.55
Pakistan,59.0,2020-07-09,1558.0,44.95
Qatar,,,,
Belgium,56.0,2020-07-06,9052.0,35.56
Bangladesh,26.0,2020-06-06,310.0,48.65
