Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,136,2020-09-24,5043889,31.35
US,104,2020-08-23,1548061,29.67
Brazil,44,2020-06-24,250780,27.44
Russia,128,2020-09-16,445619,6.25
Spain,79,2020-07-29,285094,14.72
United Kingdom,96,2020-08-15,260585,14.87
Italy,98,2020-08-17,226408,39.14
India,102,2020-08-21,148729,5.33
France,90,2020-08-09,189373,169.62
Germany,93,2020-08-12,178900,20.25
Peru,96,2020-08-15,118753,15.11
Turkey,86,2020-08-05,149693,45.77
Iran,116,2020-09-04,126720,41.37
Chile,206,2020-12-03,107100,32.24
Mexico,205,2020-12-02,148499,6.01
Canada,92,2020-08-11,85646,23.69
Saudi Arabia,201,2020-11-28,134510,16.11
Pakistan,54,2020-07-04,61713,51.14
Qatar,94,2020-08-13,44461,24.97
Belgium,77,2020-07-27,57096,4.26
Bangladesh,176,2020-11-03,53387,24.38
