Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,160,2020-11-09,7863161,27.13
US,374,2021-06-11,3152723,9.9
Brazil,70,2020-08-11,1016285,26.65
Russia,141,2020-10-21,538123,21.46
Spain,94,2020-09-04,289065,34.04
United Kingdom,157,2020-11-06,320864,13.26
Italy,101,2020-09-11,235840,30.26
India,340,2021-05-08,1027525,3.06
France,72,2020-08-13,194353,68.87
Germany,108,2020-09-18,186451,52.28
Peru,69,2020-08-10,270595,58.37
Turkey,148,2020-10-28,180117,21.49
Iran,129,2020-10-09,199753,14.45
Chile,69,2020-08-10,204299,19.76
Mexico,230,2021-01-18,252438,10.48
Canada,167,2020-11-16,110499,5.72
Saudi Arabia,108,2020-09-18,122003,35.56
Pakistan,234,2021-01-22,319915,20.35
Qatar,204,2020-12-23,145980,24.57
Belgium,78,2020-08-19,59577,28.68
Bangladesh,376,2021-06-13,532378,9.88
