Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,138,2020-09-28,5259525,31.58
US,109,2020-08-30,1577820,36.19
Brazil,41,2020-06-23,270028,36.77
Russia,108,2020-08-29,407888,12.03
Spain,85,2020-08-06,282669,10.5
United Kingdom,100,2020-08-21,264729,5.35
Italy,139,2020-09-29,236105,2.66
India,152,2020-10-12,183795,23.69
France,86,2020-08-07,188011,96.08
Germany,94,2020-08-15,180303,29.43
Peru,75,2020-07-27,116621,19.62
Turkey,85,2020-08-06,152563,40.84
Iran,116,2020-09-06,131744,41.35
Chile,65,2020-07-17,54860,45.28
Mexico,203,2020-12-02,146097,10.01
Canada,102,2020-08-23,88783,23.73
Saudi Arabia,70,2020-07-22,64231,36.45
Pakistan,69,2020-07-21,77338,60.64
Qatar,108,2020-08-29,54727,13.46
Belgium,81,2020-08-02,56258,32.45
Bangladesh,38,2020-06-20,24767,38.72
