Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,114,2020-09-04,342247.0,25.92
US,81,2020-08-02,94815.0,32.52
Brazil,151,2020-10-11,49278.0,4.95
Russia,63,2020-07-15,3436.0,18.53
Spain,58,2020-07-10,27984.0,23.18
United Kingdom,107,2020-08-28,39947.0,8.56
Italy,79,2020-07-31,32497.0,35.59
India,36,2020-06-18,3490.0,22.74
France,59,2020-07-11,28313.0,24.78
Germany,71,2020-07-23,8778.0,53.17
Peru,67,2020-07-19,3494.0,37.15
Turkey,59,2020-07-11,4335.0,12.55
Iran,71,2020-07-23,7172.0,46.38
Chile,32,2020-06-14,424.0,71.36
Mexico,49,2020-07-01,7994.0,10.32
Canada,77,2020-07-29,7073.0,11.71
Saudi Arabia,72,2020-07-24,535.0,0.0
Pakistan,61,2020-07-13,1555.0,19.11
Qatar,6,2020-05-19,14.0,66.67
Belgium,57,2020-07-09,9106.0,40.26
Bangladesh,28,2020-06-10,354.0,45.76
