Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,141.0,2020-11-07,10933641.0,
US,377.0,2021-07-01,4416484.0,
Brazil,179.0,2020-12-15,1720684.0,
Russia,238.0,2021-02-12,794341.0,
Spain,90.0,2020-09-17,294268.0,
United Kingdom,285.0,2021-03-31,376433.0,
Italy,98.0,2020-09-25,239967.0,
India,203.0,2021-01-08,1035925.0,
France,74.0,2020-09-01,197384.0,
Germany,70.0,2020-08-28,194384.0,
Peru,186.0,2020-12-22,373537.0,
Turkey,149.0,2020-11-15,212523.0,
Iran,135.0,2020-11-01,240225.0,
Chile,,,,
Mexico,354.0,2021-06-08,545354.0,
Canada,170.0,2020-12-06,112012.0,
Saudi Arabia,98.0,2020-09-25,223092.0,
Pakistan,226.0,2021-01-31,639645.0,
Qatar,95.0,2020-09-22,99139.0,
Belgium,118.0,2020-10-15,62276.0,
Bangladesh,370.0,2021-06-24,475592.0,
