Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,124.0,2020-10-21,521831.0,
US,99.0,2020-09-26,128431.0,
Brazil,166.0,2020-12-02,84976.0,
Russia,131.0,2020-10-28,12450.0,
Spain,16.0,2020-07-05,27136.0,
United Kingdom,84.0,2020-09-11,43839.0,
Italy,83.0,2020-09-10,34795.0,
India,,,,
France,59.0,2020-08-17,29948.0,
Germany,62.0,2020-08-20,9045.0,
Peru,99.0,2020-09-26,10850.0,
Turkey,61.0,2020-08-19,5043.0,
Iran,55.0,2020-08-13,10343.0,
Chile,32.0,2020-07-21,6678.0,
Mexico,231.0,2021-02-05,64597.0,
Canada,98.0,2020-09-25,8819.0,
Saudi Arabia,51.0,2020-08-09,1962.0,
Pakistan,124.0,2020-10-21,9552.0,
Qatar,18.0,2020-07-07,113.0,
Belgium,55.0,2020-08-13,9744.0,
Bangladesh,112.0,2020-10-09,2924.0,
