Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,132,2020-10-18,444968.0,42.79
US,95,2020-09-11,121063.0,16.33
Brazil,171,2020-11-26,79588.0,31.2
Russia,111,2020-09-27,9195.0,6.26
Spain,18,2020-06-26,27136.0,0.0
United Kingdom,84,2020-08-31,41692.0,50.35
Italy,81,2020-08-28,34476.0,27.07
India,193,2020-12-18,23241.0,13.76
France,62,2020-08-09,29327.0,52.57
Germany,44,2020-07-22,8863.0,24.78
Peru,106,2020-09-22,8370.0,17.97
Turkey,84,2020-08-31,5140.0,4.35
Iran,66,2020-08-13,9036.0,38.33
Chile,127,2020-10-13,6976.0,58.98
Mexico,75,2020-08-22,23984.0,21.54
Canada,92,2020-09-08,8682.0,0.58
Saudi Arabia,76,2020-08-23,1670.0,20.68
Pakistan,92,2020-09-08,5065.0,2.11
Qatar,24,2020-07-02,73.0,40.0
Belgium,56,2020-08-03,9666.0,19.64
Bangladesh,29,2020-07-07,1203.0,27.14
