Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,161,2020-11-16,8809034,22.87
US,109,2020-09-25,2320949,6.96
Brazil,246,2021-02-09,2370855,29.6
Russia,372,2021-06-15,1073757,0.89
Spain,93,2020-09-09,290668,49.85
United Kingdom,158,2020-11-13,343764,94.57
Italy,98,2020-09-14,237901,19.58
India,261,2021-02-24,899715,9.1
France,73,2020-08-20,194351,29.65
Germany,74,2020-08-21,188405,5.97
Peru,233,2021-01-27,487013,39.26
Turkey,275,2021-03-10,207257,29.06
Iran,139,2020-10-25,210068,17.66
Chile,105,2020-09-21,234522,10.03
Mexico,319,2021-04-23,458274,5.18
Canada,169,2020-11-24,110382,28.73
Saudi Arabia,203,2020-12-28,239740,12.56
Pakistan,282,2021-03-17,645837,10.38
Qatar,113,2020-09-29,97058,12.07
Belgium,78,2020-08-25,60361,18.46
Bangladesh,155,2020-11-10,172739,5.12
