Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,143,2020-12-02,638332,24.92
US,99,2020-10-19,146552,17.62
Brazil,314,2021-05-22,144556,10.88
Russia,184,2021-01-12,17113,3.58
Spain,20,2020-08-01,28416,38.89
United Kingdom,88,2020-10-08,45537,29.88
Italy,83,2020-10-03,35017,53.06
India,373,2021-07-20,157975,7.75
France,60,2020-09-10,30066,69.8
Germany,82,2020-10-02,9187,95.45
Peru,203,2021-01-31,20434,3.95
Turkey,61,2020-09-11,5523,26.36
Iran,53,2020-09-03,14366,33.53
Chile,59,2020-09-09,8208,49.2
Mexico,147,2020-12-06,50810,4.59
Canada,90,2020-10-10,8909,33.33
Saudi Arabia,53,2020-09-03,2689,20.83
Pakistan,103,2020-10-23,6802,13.17
Qatar,33,2020-08-14,185,63.64
Belgium,54,2020-09-04,9786,73.68
Bangladesh,158,2020-12-17,4454,11.99
