Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,175,2021-01-03,16974061.0,10.31
US,81,2020-10-01,3949231.0,25.26
Brazil,256,2021-03-25,3291457.0,19.58
Russia,167,2020-12-26,826962.0,14.74
Spain,85,2020-10-05,304626.0,66.12
United Kingdom,97,2020-10-17,291154.0,99.98
Italy,96,2020-10-16,244683.0,27.05
India,393,2021-08-09,4482250.0,8.18
France,74,2020-09-24,211254.0,47.14
Germany,75,2020-09-25,201954.0,55.34
Peru,348,2021-06-25,498128.0,15.12
Turkey,232,2021-03-01,245294.0,7.22
Iran,374,2021-07-21,433961.0,0.22
Chile,89,2020-10-09,339696.0,18.43
Mexico,372,2021-07-19,1134028.0,8.02
Canada,213,2021-02-10,120017.0,30.34
Saudi Arabia,137,2020-11-26,281454.0,12.53
Pakistan,110,2020-10-30,279624.0,3.71
Qatar,147,2020-12-06,113165.0,4.46
Belgium,77,2020-09-27,63742.0,39.8
Bangladesh,196,2021-01-24,267395.0,6.05
