Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,113,2020-09-06,361982.0,16.09
US,80,2020-08-04,101193.0,12.02
Brazil,63,2020-07-18,29745.0,8.63
Russia,64,2020-07-19,3702.0,28.87
Spain,57,2020-07-12,28491.0,42.74
United Kingdom,80,2020-08-04,38317.0,4.48
Italy,74,2020-07-29,33357.0,2.98
India,76,2020-07-31,4798.0,32.57
France,59,2020-07-14,28590.0,3.09
Germany,68,2020-07-23,8212.0,48.15
Peru,79,2020-08-03,4694.0,8.11
Turkey,59,2020-07-14,4430.0,2.35
Iran,69,2020-07-24,7433.0,35.22
Chile,23,2020-06-08,563.0,56.13
Mexico,173,2020-11-05,22178.0,2.3
Canada,78,2020-08-02,7234.0,6.75
Saudi Arabia,85,2020-08-09,606.0,11.54
Pakistan,61,2020-07-16,1650.0,4.1
Qatar,9,2020-05-25,15.0,85.71
Belgium,55,2020-07-10,9284.0,15.88
Bangladesh,37,2020-06-22,451.0,46.76
