Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,175,2021-01-09,18916140,
US,70,2020-09-26,4392582,
Brazil,290,2021-05-04,3528104,
Russia,372,2021-07-25,1344968,
Spain,73,2020-09-29,314890,
United Kingdom,371,2021-07-24,339176,
Italy,95,2020-10-21,246515,
India,220,2021-02-23,2654348,
France,73,2020-09-29,216538,
Germany,71,2020-09-27,205862,
Peru,371,2021-07-24,649435,
Turkey,271,2021-04-15,254153,
Iran,393,2021-08-15,530129,
Chile,120,2020-11-15,356475,
Mexico,378,2021-07-31,1362449,
Canada,118,2020-11-13,119281,
Saudi Arabia,200,2021-02-03,316737,
Pakistan,121,2020-11-16,287062,
Qatar,159,2020-12-24,113948,
Belgium,69,2020-09-25,65844,
Bangladesh,218,2021-02-21,285326,
