Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,129,2020-11-24,684167.0,
US,97,2020-10-23,151998.0,
Brazil,286,2021-04-30,151695.0,
Russia,170,2021-01-04,17798.0,
Spain,26,2020-08-13,28441.0,
United Kingdom,87,2020-10-13,46013.0,
Italy,82,2020-10-08,35183.0,
India,84,2020-10-10,35713.0,
France,57,2020-09-13,30399.0,
Germany,83,2020-10-09,9174.0,
Peru,260,2021-04-04,24571.0,
Turkey,62,2020-09-18,5627.0,
Iran,51,2020-09-07,15645.0,
Chile,88,2020-10-14,13614.0,
Mexico,154,2020-12-19,57539.0,
Canada,59,2020-09-15,8884.0,
Saudi Arabia,78,2020-10-04,3169.0,
Pakistan,71,2020-09-27,6331.0,
Qatar,12,2020-07-30,156.0,
Belgium,53,2020-09-09,9821.0,
Bangladesh,109,2020-11-04,3763.0,
