Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,375,2021-07-27,1992895.0,
US,204,2021-02-06,168127.0,
Brazil,363,2021-07-15,160481.0,
Russia,253,2021-03-27,23598.0,
Spain,25,2020-08-11,28436.0,
United Kingdom,144,2020-12-08,47596.0,
Italy,84,2020-10-09,35067.0,
India,153,2020-12-17,51841.0,
France,58,2020-09-13,30334.0,
Germany,35,2020-08-21,9140.0,
Peru,253,2021-03-27,23746.0,
Turkey,219,2021-02-21,6716.0,
Iran,44,2020-08-30,15320.0,
Chile,66,2020-09-21,9271.0,
Mexico,269,2021-04-12,70837.0,
Canada,51,2020-09-06,9046.0,
Saudi Arabia,66,2020-09-21,2976.0,
Pakistan,104,2020-10-29,6933.0,
Qatar,9,2020-07-26,153.0,
Belgium,53,2020-09-08,9815.0,
Bangladesh,110,2020-11-04,3785.0,
